name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,N61311_Ctrl,N052611_Ctrl,N080611_Ctrl,N061011_Ctrl,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex
ENSG00000152583,SPARCL1,80.8,2,78.8,37.424,5.2,4.3e-09,0.0e+00,0,0,1,1,2,4,92,79,61,83
ENSG00000096060,FKBP5,216,15.8,200.2,12.551,3.6,7.6e-09,1.0e-04,0,0,17,15,21,10,201,248,177,175
ENSG00000178695,KCTD12,232.8,201.5,31.2,0.155,-2.7,2.6e-08,2.0e-04,1e-04,0,219,189,197,201,39,23,37,26
ENSG00000166741,NNMT,598.5,110.8,487.8,4.398,2.1,4.0e-08,4.0e-04,1e-04,0,105,126,124,88,560,457,478,456
ENSG00000189221,MAOA,193,20.8,172.2,8.239,3,4.6e-08,4.0e-04,1e-04,0,22,22,27,12,152,180,200,157
ENSG00000124766,SOX4,112.5,97,15.5,0.164,-2.6,1.6e-07,1.5e-03,2e-04,0,116,86,98,88,20,12,19,11
ENSG00000148175,STOM,1140,313.8,826.2,2.633,1.4,1.8e-07,1.7e-03,2e-04,0,310,324,309,312,861,739,795,910
ENSG00000162614,NEXN,453,98.5,354.5,3.595,1.8,2.8e-07,2.5e-03,3e-04,0,102,93,79,120,331,407,310,370
ENSG00000101347,SAMHD1,1184.5,80.8,1103.8,13.655,3.8,3.0e-07,2.7e-03,3e-04,0,78,77,80,88,857,1403,554,1601
ENSG00000172986,GXYLT2,66.5,53,13.5,0.259,-1.9,3.8e-07,3.5e-03,3e-04,0,61,55,50,46,15,12,14,13
ENSG00000109906,ZBTB16,96.5,1.5,95,58.982,5.9,4.0e-07,3.7e-03,3e-04,0,0,3,0,3,100,97,46,137
ENSG00000162692,VCAM1,41.2,39,2.2,0.061,-4,4.6e-07,4.2e-03,4e-04,0,39,40,40,37,3,2,4,0
ENSG00000131389,SLC6A6,66.2,54.5,11.8,0.22,-2.2,6.5e-07,5.9e-03,5e-04,0,49,71,49,49,11,13,12,11
ENSG00000120129,DUSP1,290.5,34.8,255.8,7.332,2.9,7.8e-07,7.1e-03,5e-04,0,19,49,35,36,238,301,176,308
