source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,9.3549465374443e-07,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,502,132,21026,0.26294820717131473,0.040145985401459854,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0008283,cell population proliferation,1.8937905767073541e-06,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2015,502,92,21026,0.18326693227091634,0.0456575682382134,query_1,['GO:0009987']
GO:BP,GO:0042325,regulation of phosphorylation,1.6667768699988362e-06,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]",830,502,51,21026,0.10159362549800798,0.06144578313253012,query_1,"['GO:0016310', 'GO:0019220']"
GO:BP,GO:0010648,negative regulation of cell communication,1.6011383257598424e-06,True,"""Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1436,502,73,21026,0.1454183266932271,0.05083565459610028,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048523']"
GO:BP,GO:0023057,negative regulation of signaling,1.5529413572365242e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1435,502,73,21026,0.1454183266932271,0.050871080139372825,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048519']"
GO:BP,GO:0006468,protein phosphorylation,1.210606115006473e-06,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1227,502,66,21026,0.13147410358565736,0.05378973105134474,query_1,"['GO:0016310', 'GO:0036211']"
GO:BP,GO:0048598,embryonic morphogenesis,0.015999564919067837,True,"""The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."" [GOC:jid, GOC:mtg_sensu]",620,502,34,21026,0.06772908366533864,0.054838709677419356,query_1,"['GO:0009653', 'GO:0009790']"
GO:BP,GO:0051093,negative regulation of developmental process,1.1324736483457598e-06,True,"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",925,502,55,21026,0.10956175298804781,0.05945945945945946,query_1,"['GO:0032502', 'GO:0048519', 'GO:0050793']"
GO:BP,GO:0034330,cell junction organization,1.966218486765264e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",834,502,51,21026,0.10159362549800798,0.06115107913669065,query_1,['GO:0016043']
GO:BP,GO:0150116,regulation of cell-substrate junction organization,0.00015501785789228076,True,"""Any process that modulates the frequency, rate or extent of cell-substrate junction organization."" [GOC:aruk]",68,502,12,21026,0.02390438247011952,0.17647058823529413,query_1,"['GO:0051128', 'GO:0150115']"
GO:BP,GO:0033036,macromolecule localization,0.016984389996072023,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",3228,502,114,21026,0.22709163346613545,0.03531598513011153,query_1,['GO:0051179']
GO:BP,GO:2000146,negative regulation of cell motility,8.784197334595976e-07,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell motility."" [GOC:mah]",308,502,29,21026,0.05776892430278884,0.09415584415584416,query_1,"['GO:0040013', 'GO:0048523', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0032880,regulation of protein localization,0.017169333484481204,True,"""Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location."" [GOC:dph, GOC:mah, GOC:tb]",907,502,44,21026,0.08764940239043825,0.04851157662624035,query_1,"['GO:0008104', 'GO:0060341']"
GO:BP,GO:0007010,cytoskeleton organization,7.777916322477872e-07,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1529,502,77,21026,0.15338645418326693,0.050359712230215826,query_1,['GO:0006996']
GO:BP,GO:0051246,regulation of protein metabolic process,7.188220735609975e-07,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1855,502,88,21026,0.1752988047808765,0.04743935309973046,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']"
GO:BP,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.018147126885347652,True,"""Any process that modulates the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]",268,502,20,21026,0.0398406374501992,0.07462686567164178,query_1,"['GO:0007178', 'GO:0009966']"
GO:BP,GO:0010628,positive regulation of gene expression,0.01839704063489227,True,"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1212,502,54,21026,0.10756972111553785,0.04455445544554455,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010557']"
GO:BP,GO:0050673,epithelial cell proliferation,0.002340262521573553,True,"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]",441,502,29,21026,0.05776892430278884,0.06575963718820861,query_1,['GO:0008283']
GO:BP,GO:0048585,negative regulation of response to stimulus,0.00048360579595624277,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1680,502,74,21026,0.14741035856573706,0.04404761904761905,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0055082,intracellular chemical homeostasis,0.0024760361306024516,True,"""A homeostatic process involved in the maintenance of a steady state level of a chemical within a cell."" [GOC:isa_complete, GOC:jid]",730,502,40,21026,0.0796812749003984,0.0547945205479452,query_1,"['GO:0019725', 'GO:0048878']"
GO:BP,GO:0045669,positive regulation of osteoblast differentiation,0.014400643509039962,True,"""Any process that activates or increases the frequency, rate or extent of osteoblast differentiation."" [GOC:go_curators]",70,502,10,21026,0.0199203187250996,0.14285714285714285,query_1,"['GO:0001649', 'GO:0045597', 'GO:0045667']"
GO:BP,GO:0009790,embryo development,0.012629968971197931,True,"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",1135,502,52,21026,0.10358565737051793,0.04581497797356828,query_1,['GO:0007275']
GO:BP,GO:0051130,positive regulation of cellular component organization,0.01275695071672254,True,"""Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",1105,502,51,21026,0.10159362549800798,0.046153846153846156,query_1,"['GO:0016043', 'GO:0048522', 'GO:0051128']"
GO:BP,GO:0061448,connective tissue development,0.0003914454529423496,True,"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]",292,502,24,21026,0.04780876494023904,0.0821917808219178,query_1,['GO:0009888']
GO:BP,GO:0009968,negative regulation of signal transduction,4.684734000879122e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."" [GOC:sm]",1326,502,68,21026,0.13545816733067728,0.05128205128205128,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']"
GO:BP,GO:0051247,positive regulation of protein metabolic process,0.00039970673184862,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1039,502,53,21026,0.10557768924302789,0.05101058710298364,query_1,"['GO:0010604', 'GO:0019538', 'GO:0051246']"
GO:BP,GO:0071559,response to transforming growth factor beta,4.147887566185393e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:mah]",269,502,26,21026,0.05179282868525897,0.09665427509293681,query_1,['GO:0070848']
GO:BP,GO:0032535,regulation of cellular component size,0.013252217620028343,True,"""A process that modulates the size of a cellular component."" [GOC:mah]",356,502,24,21026,0.04780876494023904,0.06741573033707865,query_1,"['GO:0016043', 'GO:0090066']"
GO:BP,GO:0045778,positive regulation of ossification,0.013383704458348772,True,"""Any process that activates or increases the frequency, rate or extent of ossification, the formation of bone or of a bony substance or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:go_curators]",55,502,9,21026,0.017928286852589643,0.16363636363636364,query_1,"['GO:0001503', 'GO:0030278', 'GO:0051240']"
GO:BP,GO:1902903,regulation of supramolecular fiber organization,0.000430879339457825,True,"""Any process that modulates the frequency, rate or extent of supramolecular fiber organization."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:23921388]",383,502,28,21026,0.055776892430278883,0.0731070496083551,query_1,"['GO:0051128', 'GO:0097435']"
GO:BP,GO:0040013,negative regulation of locomotion,3.3100274205858194e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",326,502,29,21026,0.05776892430278884,0.08895705521472393,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048519']"
GO:BP,GO:0061061,muscle structure development,3.267791521375199e-06,True,"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]",693,502,45,21026,0.08964143426294821,0.06493506493506493,query_1,['GO:0048856']
GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,0.002838661031923405,True,"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]",599,502,35,21026,0.0697211155378486,0.05843071786310518,query_1,"['GO:0000902', 'GO:0048666']"
GO:BP,GO:0098609,cell-cell adhesion,2.8728151686366056e-06,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",976,502,56,21026,0.11155378486055777,0.05737704918032787,query_1,['GO:0007155']
GO:BP,GO:0045216,cell-cell junction organization,0.002574380574562771,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",215,502,19,21026,0.037848605577689244,0.08837209302325581,query_1,['GO:0034330']
